experiment	score	max_score	pass_rate	status	description
0	0	25	0.0%	baseline	original skill — empty index with no rules, examples, or RLS/action guidance
1	25	25	100.0%	keep	added server action auth pattern, RLS boilerplate, migration conventions, query hygiene, project table names
